iter	Passed	Remaining
632	44694	25913
633	44760	25839
634	44835	25771
635	44902	25698
636	44970	25626
637	45042	25556
638	45109	25484
639	45176	25411
640	45244	25339
641	45310	25266
642	45380	25195
643	45463	25131
644	45563	25077
645	45653	25017
646	45720	24944
647	45789	24873
648	45864	24804
649	45931	24732
650	46002	24661
651	46068	24588
652	46137	24517
653	46202	24443
654	46270	24371
655	46340	24300
656	46410	24229
657	46480	24158
658	46558	24091
659	46640	24026
660	46725	23963
661	46822	23906
662	46908	23843
663	46988	23777
664	47063	23708
665	47135	23638
666	47201	23565
667	47268	23492
668	47333	23419
669	47410	23351
670	47486	23283
671	47566	23217
672	47653	23154
673	47738	23090
674	47831	23030
675	47921	22968
676	48015	22908
677	48100	22844
678	48191	22782
679	48268	22714
680	48345	22646
681	48417	22575
682	48496	22508
683	48570	22439
684	48648	22371
685	48722	22301
686	48799	22233
687	48874	22164
688	48938	22089
689	49005	22017
690	49080	21947
691	49145	21874
692	49212	21801
693	49282	21729
694	49360	21661
695	49436	21592
696	49513	21524
697	49587	21454
698	49659	21384
699	49727	21311
700	49793	21238
701	49863	21167
702	49930	21094
703	49995	21020
704	50061	20947
705	50132	20876
706	50200	20804
707	50268	20732
708	50337	20660
709	50402	20587
710	50466	20513
711	50536	20441
712	50601	20368
713	50667	20295
714	50737	20223
715	50805	20151
716	50875	20080
717	50944	20008
718	51008	19935
719	51075	19862
720	51148	19792
721	51211	19718
722	51275	19645
723	51342	19572
724	51411	19500
725	51477	19428
726	51544	19355
727	51614	19284
728	51681	19212
729	51751	19141
730	51823	19070
731	51904	19003
732	51986	18936
733	52068	18869
734	52144	18800
735	52214	18729
736	52284	18657
737	52351	18585
738	52419	18513
739	52491	18442
740	52559	18371
741	52628	18299
742	52700	18228
743	52767	18156
744	52839	18085
745	52912	18015
746	52980	17943
747	53049	17872
748	53120	17801
749	53188	17729
750	53256	17657
751	53326	17586
752	53391	17513
753	53456	17440
754	53527	17369
755	53589	17296
756	53656	17223
757	53725	17152
758	53796	17081
759	53867	17010
760	53939	16940
761	54005	16867
762	54073	16796
763	54146	16725
764	54213	16653
765	54280	16581
766	54348	16510
767	54413	16437
768	54478	16364
769	54548	16293
770	54613	16220
771	54680	16149
772	54755	16079
773	54825	16008
774	54892	15936
775	54959	15864
776	55027	15792
777	55093	15720
778	55164	15650
779	55230	15577
780	55299	15506
781	55368	15435
782	55434	15363
783	55500	15291
784	55569	15219
785	55633	15147
786	55698	15074
787	55772	15004
788	55838	14932
789	55904	14860
790	55974	14789
791	56038	14717
792	56104	14645
793	56176	14574
794	56240	14502
795	56307	14430
796	56376	14359
797	56444	14288
798	56512	14216
799	56584	14146
800	56650	14074
801	56720	14003
802	56808	13936
803	56891	13869
804	56972	13800
805	57050	13731
806	57119	13660
807	57187	13589
808	57258	13518
809	57323	13446
810	57400	13376
811	57469	13305
812	57537	13234
813	57603	13162
814	57674	13091
815	57746	13021
816	57815	12950
817	57889	12880
818	57957	12808
819	58027	12737
820	58104	12668
821	58172	12597
822	58239	12525
823	58312	12455
824	58388	12385
825	58461	12315
826	58540	12246
827	58613	12175
828	58681	12104
829	58758	12034
830	58827	11963
831	58894	11892
832	58966	11821
833	59038	11750
834	59105	11679
835	59176	11608
836	59246	11537
837	59314	11466
838	59382	11395
839	59451	11324
840	59518	11252
841	59604	11184
842	59680	11114
843	59760	11045
844	59832	10975
845	59905	10904
846	59971	10833
847	60041	10762
848	60111	10691
849	60179	10619
850	60252	10549
851	60319	10477
852	60385	10406
853	60454	10335
854	60523	10264
855	60591	10192
856	60663	10122
857	60735	10051
858	60804	9980
859	60875	9909
860	60943	9838
861	61013	9767
862	61084	9697
863	61149	9625
864	61218	9554
865	61291	9483
866	61359	9412
867	61431	9342
868	61504	9271
869	61570	9200
870	61635	9128
871	61707	9058
872	61776	8986
873	61844	8915
874	61915	8845
875	61979	8773
876	62051	8702
877	62128	8632
878	62198	8561
879	62269	8491
880	62336	8420
881	62409	8349
882	62478	8278
883	62547	8207
884	62614	8136
885	62681	8065
886	62751	7994
887	62822	7923
888	62890	7852
889	62960	7781
890	63028	7710
891	63093	7639
892	63158	7567
893	63229	7496
894	63296	7425
895	63364	7354
896	63431	7283
897	63497	7212
898	63564	7141
899	63634	7070
900	63707	7000
901	63773	6928
902	63844	6858
903	63911	6787
904	63975	6715
905	64044	6644
906	64110	6573
907	64175	6502
908	64250	6432
909	64325	6361
910	64393	6290
911	64463	6220
912	64529	6149
913	64596	6077
914	64674	6008
915	64740	5936
916	64807	5865
917	64875	5795
918	64946	5724
919	65013	5653
920	65082	5582
921	65149	5511
922	65216	5440
923	65286	5369
924	65353	5298
925	65417	5227
926	65487	5157
927	65554	5086
928	65619	5015
929	65692	4944
930	65759	4873
931	65825	4802
932	65894	4731
933	65962	4661
934	66027	4590
935	66098	4519
936	66162	4448
937	66229	4377
938	66295	4306
939	66363	4235
940	66431	4165
941	66503	4094
942	66565	4023
943	66632	3952
944	66705	3882
945	66768	3811
946	66835	3740
947	66903	3669
948	66974	3599
949	67038	3528
950	67107	3457
951	67184	3387
952	67260	3317
953	67326	3246
954	67392	3175
955	67459	3104
956	67529	3034
957	67594	2963
958	67661	2892
959	67728	2822
960	67794	2751
961	67859	2680
962	67928	2609
963	67996	2539
964	68066	2468
965	68133	2398
966	68205	2327
967	68272	2256
968	68340	2186
969	68411	2115
970	68475	2045
971	68538	1974
972	68606	1903
973	68676	1833
974	68743	1762
975	68819	1692
976	68887	1621
977	68956	1551
978	69022	1480
979	69088	1409
980	69155	1339
981	69223	1268
982	69290	1198
983	69356	1127
984	69434	1057
985	69502	986
986	69575	916
987	69648	845
988	69718	775
989	69794	704
990	69872	634
991	69947	564
992	70023	493
993	70095	423
994	70164	352
995	70230	282
996	70297	211
997	70364	141
998	70431	70
999	70501	0
